Law ID,state,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change
MS1016,Mississippi,28,11,registration,,handgun,,
MS1017,Mississippi,28,13,waiting period,,handgun,,
MS1018,Mississippi,28,1,background checks,sales from dealer,long gun,,
MS1019,Mississippi,28,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
MS1020,Mississippi,28,5,dealer license,,long gun,,
MS1021,Mississippi,28,11,registration,,long gun,,
MS1022,Mississippi,28,1,background checks,private sales,long gun,,
MS1023,Mississippi,28,7,minimum age,purchase and sale,handgun,Restrictive,Implement
MS1024,Mississippi,28,13,waiting period,,long gun,,
MS1025,Mississippi,28,12,safety training required,,handgun,,
MS1026,Mississippi,28,10,prohibited possessor,erpo,handgun and long gun,,
MS1027,Mississippi,28,10,prohibited possessor,dvro,handgun and long gun,,
MS1028,Mississippi,28,10,prohibited possessor,mental health,handgun and long gun,,
MS1029,Mississippi,28,12,safety training required,,long gun,,
MS1030,Mississippi,28,7,minimum age,youth possession,long gun,,
MS1031,Mississippi,28,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
MS1032,Mississippi,28,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
MS1033,Mississippi,28,9,permit to purchase,,handgun,,
MS1034,Mississippi,28,9,permit to purchase,,long gun,,
MS1035,Mississippi,28,8,open carry,not restricted,long gun,,
MS1036,Mississippi,28,3,castle doctrine,,handgun and long gun,Permissive,Implement
MS1037,Mississippi,28,6,firearm sales restrictions,,handgun and long gun,,
MS1038,Mississippi,28,13,waiting period,federal,handgun,Restrictive,Implement
MS1039,MIssissippi,28,13,waiting period,federal,handgun,Permissive,Repeal
MS1040,Mississippi,28,14,firearm removal at scene of domestic violence,,handgun and long gun,,
MS1041,Mississippi,28,13,firearms in college/university,,handgun and long gun,,
MS1042,Mississippi,28,13,firearms in college/university,public and private : CCW allowed,handgun,Permissive,Modify
MS1043,Mississippi,28,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Implement
MS1044,Mississippi,28,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
MS1045,Mississippi,28,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
MS1046,Mississippi,28,12,local laws preempted by state,,handgun and long gun,,
MS1047,Mississippi,28,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
MS1048,Mississippi,28,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
MS1049,Mississippi,28,11,required reporting of lost or stolen firearms,,handgun and long gun,,
MO1001,Missouri,29,1,background checks,permit to purchase,handgun,Restrictive,Implement
MO1002,Missouri,29,1,background checks,permit to purchase,handgun,Permissive,Repeal
MO1003,Missouri,29,1,background checks,private sales,handgun,Restrictive,Implement
MO1004,Missouri,29,1,background checks,private sales,handgun,Permissive,Repeal
MO1005,Missouri,29,1,background checks,private sales,handgun,,
MO1006,Missouri,29,1,background checks,sales from dealer,handgun,,
MO1007,Missouri,29,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
MO1008,Missouri,29,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
MO1009,Missouri,29,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify
MO1010,Missouri,29,3,castle doctrine,,handgun and long gun,Permissive,Modify
MO1061,Missouri,29,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
MO1011,Missouri,29,3,castle doctrine,expanded 2,handgun and long gun,Permissive,Modify
MO1012,Missouri,29,4,child access laws,negligent storage,handgun and long gun,,
MO1013,Missouri,29,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,Restrictive,Implement
MO1014,Missouri,29,5,dealer license,,handgun,,
MO1015,Missouri,29,9,permit to purchase,maximum waiting period,handgun,Restrictive,Implement
MO1016,Missouri,29,9,permit to purchase,maximum waiting period,handgun,Restrictive,Repeal
MO1017,Missouri,29,7,minimum age,purchase and sale,handgun,,
MO1018,Missouri,29,7,minimum age,purchase and sale,handgun,Restrictive,Implement
MO1019,Missouri,29,7,minimum age,purchase and sale,handgun,Permissive,Repeal
MO1020,Missouri,29,7,minimum age,purchase and sale,long gun,Restrictive,Implement
MO1022,Missouri,29,8,open carry,license required,handgun,Permissive,Implement
MO1023,Missouri,29,8,open carry,not restricted,handgun,,
MO1024,Missouri,29,9,permit to purchase,,handgun,Restrictive,Implement
MO1025,Missouri,29,9,permit to purchase,,handgun,Permissive,Repeal
MO1026,Missouri,29,11,registration,,handgun,Restrictive,Implement
MO1027,Missouri,29,13,waiting period,,handgun,,
MO1029,Missouri,29,1,background checks,sales from dealer,long gun,,
MO1030,Missouri,29,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
MO1031,Missouri,29,5,dealer license,,long gun,,
MO1032,Missouri,29,11,registration,,long gun,,
MO1033,Missouri,29,1,background checks,private sales,long gun,,
MO1034,Missouri,29,7,minimum age,purchase and sale,long gun,,
MO1035,Missouri,29,13,waiting period,,long gun,,
MO1038,Missouri,29,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
MO1039,Missouri,29,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
MO1040,Missouri,29,12,safety training required,,handgun,,
MO1041,Missouri,29,10,prohibited possessor,erpo,handgun and long gun,,
MO1042,Missouri,29,10,prohibited possessor,dvro,handgun and long gun,,
MO1043,Missouri,29,12,safety training required,,long gun,,
MO1044,Missouri,29,10,prohibited possessor,mental health,handgun and long gun,,
MO1045,Missouri,29,11,registration,,handgun,Permissive,Repeal
MO1046,Missouri,29,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
MO1047,Missouri,29,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
MO1048,Missouri,29,9,permit to purchase,,long gun,,
MO1049,Missouri,29,8,open carry,not restricted,long gun,,
MO1050,Missouri,29,6,firearm sales restrictions,,handgun and long gun,,
MO1051,Missouri,29,3,castle doctrine,,handgun and long gun,Permissive,Implement
MO1052,Missouri,29,1,background checks,sales from dealer,handgun,Restrictive,Implement
MO1053,Missouri,29,1,background checks,sales from dealer,handgun,Permissive,Repeal
MO1054,Missouri,29,14,firearm removal at scene of domestic violence,,handgun and long gun,,
MO1055,Missouri,29,13,firearms in college/university,,handgun and long gun,,
MO1056,Missouri,29,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Implement
MO1057,Missouri,29,12,local laws preempted by state,,handgun and long gun,,
MO1058,Missouri,29,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Modify
MO1059,Missouri,29,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
MO1060,Missouri,29,11,required reporting of lost or stolen firearms,,handgun and long gun,,
MT1001,Montana,30,1,background checks,private sales,handgun,,
MT1002,Montana,30,1,background checks,sales from dealer,handgun,,
MT1003,Montana,30,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
MT1004,Montana,30,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
MT1005,Montana,30,3,castle doctrine,expanded 2,handgun and long gun,Permissive,Modify
MT1006,Montana,30,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
MT1007,Montana,30,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
MT1008,Montana,30,5,dealer license,,handgun,,
MT1009,Montana,30,7,minimum age,youth possession,handgun,Restrictive,Implement
MT1010,Montana,30,7,minimum age,purchase and sale,handgun,,
MT1012,Montana,30,8,open carry,not restricted,handgun,,
MT1013,Montana,30,11,registration,,handgun,,
MT1014,Montana,30,13,waiting period,,handgun,,
MT1015,Montana,30,1,background checks,sales from dealer,long gun,,
MT1016,Montana,30,4,child access laws,negligent storage,handgun and long gun,,
MT1017,Montana,30,5,dealer license,,long gun,,
MT1018,Montana,30,11,registration,,long gun,,
MT1019,Montana,30,1,background checks,private sales,long gun,,
MT1020,Montana,30,1,background checks,private sales,long gun,,
MT1022,Montana,30,7,minimum age,purchase and sale,long gun,,
MT1023,Montana,30,13,waiting period,,long gun,,
MT1024,Montana,30,13,waiting period,,long gun,,
MT1025,Montana,30,10,prohibited possessor,dvro : ex parte : expanded : discretionary,handgun and long gun,Restrictive,Implement
MT1026,Montana,30,10,prohibited possessor,dvro : discretionary,handgun and long gun,Restrictive,Implement
MT1027,Montana,30,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Implement
MT1028,Montana,30,12,safety training required,,handgun,,
MT1029,Montana,30,10,prohibited possessor,erpo,handgun and long gun,,
MT1030,Montana,30,10,prohibited possessor,dvro,handgun and long gun,,
MT1031,Montana,30,12,safety training required,,long gun,,
MT1032,Montana,30,10,prohibited possessor,mental health,handgun and long gun,,
MT1033,Montana,30,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
MT1034,Montana,30,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
MT1035,Montana,30,6,firearm sales restrictions,,handgun and long gun,,
MT1036,Montana,30,9,permit to purchase,,handgun,,
MT1037,Montana,30,9,permit to purchase,,long gun,,
MT1038,Montana,30,8,open carry,not restricted,long gun,,
MT1039,Montana,30,3,castle doctrine,,handgun and long gun,Permissive,Implement
MT1040,Montana,30,13,waiting period,federal,handgun,Restrictive,Implement
MT1041,Montana,30,13,waiting period,federal,handgun,Permissive,Repeal
MT1042,Montana,30,14,firearm removal at scene of domestic violence,required,handgun and long gun,Restrictive,Implement
MT1043,Montana,30,13,firearms in college/university,,handgun and long gun,,
MT1044,Montana,30,12,local laws preempted by state,,handgun and long gun,,
MT1045,Montana,30,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Modify
MT1046,Montana,30,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
MT1047,Montana,30,11,required reporting of lost or stolen firearms,,handgun and long gun,,
NE1001,Nebraska,31,1,background checks,permit to purchase,handgun,Restrictive,Implement
NE1002,Nebraska,31,1,background checks,private sales,handgun,,
NE1003,Nebraska,31,1,background checks,sales from dealer,handgun,Restrictive,Implement
NE1004,Nebraska,31,1,background checks,sales from dealer,handgun,,
NE1005,Nebraska,31,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
NE1006,Nebraska,31,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
NE1007,Nebraska,31,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
NE1008,Nebraska,31,5,dealer license,,handgun,,
NE1009,Nebraska,31,9,permit to purchase,maximum waiting period,handgun,Restrictive,Implement
NE1010,Nebraska,31,7,minimum age,youth possession,handgun,Restrictive,Implement
NE1011,Nebraska,31,7,minimum age,youth possession,long gun,,
NE1012,Nebraska,31,7,minimum age,purchase and sale,handgun,Restrictive,Implement
NE1013,Nebraska,31,7,minimum age,purchase and sale,long gun,Restrictive,Implement
NE1014,Nebraska,31,7,minimum age,purchase and sale,handgun,,
NE1018,Nebraska,31,8,open carry,not restricted,handgun,,
NE1020,Nebraska,31,9,permit to purchase,,handgun,Restrictive,Implement
NE1021,Nebraska,31,1,background checks,sales from dealer,long gun,,
NE1022,Nebraska,31,4,child access laws,negligent storage,handgun and long gun,,
NE1023,Nebraska,31,5,dealer license,,long gun,,
NE1024,Nebraska,31,11,registration,,long gun,,
NE1025,Nebraska,31,7,minimum age,purchase and sale,handgun,Restrictive,Modify
NE1026,Nebraska,31,7,minimum age,purchase and sale,long gun,,
NE1027,Nebraska,31,9,permit to purchase,maximum waiting period,handgun,Permissive,Modify
NE1029,Nebraska,31,10,prohibited possessor,dvro : discretionary,handgun and long gun,Restrictive,Implement
NE1030,Nebraska,31,10,prohibited possessor,dvro : expanded,handgun and long gun,Restrictive,Implement
NE1031,Nebraska,31,12,safety training required,,handgun,,
NE1032,Nebraska,31,10,prohibited possessor,erpo,handgun and long gun,,
NE1033,Nebraska,31,10,prohibited possessor,dvro,handgun and long gun,,
NE1034,Nebraska,31,12,safety training required,,long gun,,
NE1035,Nebraska,31,10,prohibited possessor,mental health,handgun and long gun,,
NE1036,Nebraska,31,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
NE1037,Nebraska,31,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
NE1038,Nebraska,31,9,permit to purchase,,handgun,,
NE1039,Nebraska,31,9,permit to purchase,,long gun,,
NE1040,Nebraska,31,8,open carry,not restricted,long gun,,
NE1041,Nebraska,31,6,firearm sales restrictions,,handgun and long gun,,
NE1042,Nebraska,31,3,castle doctrine,expanded 1,handgun and long gun,Permissive,Implement
NE1043,Nebraska,31,3,castle doctrine,,handgun and long gun,Permissive,Implement
NE1044,Nebraska,31,1,background checks,private sales,handgun,Restrictive,Implement
NE1045,Nebraska,31,14,firearm removal at scene of domestic violence,required,handgun and long gun,Restrictive,Implement
NE1046,Nebraska,31,13,firearms in college/university,,handgun and long gun,,
NE1047,Nebraska,31,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
NE1048,Nebraska,31,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Implement
NE1049,Nebraska,31,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
NE1050,Nebraska,31,12,local laws preempted by state,,handgun and long gun,,
NE1051,Nebraska,31,12,local laws preempted by state,selective : ownership  possession or transportation of concealed handgun,handgun,Permissive,Implement
NE1052,Nebraska,32,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
NE1053,Nebraska,31,11,required reporting of lost or stolen firearms,,handgun and long gun,,
NV1001,Nevada,32,1,background checks,private sales,long gun,Restrictive,Implement
NV1002,Nevada,32,1,background checks,private sales,handgun,,
NV1003,Nevada,32,1,background checks,sales from dealer,handgun,,
NV1004,Nevada,32,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
NV1005,Nevada,32,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
NV1006,Nevada,32,3,castle doctrine,,handgun and long gun,Permissive,Modify
NV1007,Nevada,32,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
NV1008,Nevada,32,4,child access laws,negligent storage,handgun and long gun,,
NV1009,Nevada,32,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
NV1010,Nevada,32,5,dealer license,,handgun,,
NV1011,Nevada,32,7,minimum age,youth possession,long gun,Restrictive,Implement
NV1012,Nevada,32,7,minimum age,youth possession,long gun,Restrictive,Modify
NV1013,Nevada,32,7,minimum age,youth possession,long gun,,
NV1014,Nevada,32,7,minimum age,purchase and sale,handgun,Restrictive,Implement
NV1016,Nevada,32,8,open carry,not restricted,handgun,,
NV1017,Nevada,32,1,background checks,private sales optional,handgun,Restrictive,Implement
NV1018,Nevada,32,1,background checks,sales from dealer,long gun,,
NV1019,Nevada,32,1,background checks,private sales,handgun,Restrictive,Implement
NV1020,Nevada,32,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
NV1021,Nevada,32,5,dealer license,,long gun,,
NV1022,Nevada,32,1,background checks,private sales,long gun,,
NV1023,Nevada,32,7,minimum age,youth possession,handgun,Restrictive,Modify
NV1024,Nevada,32,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement
NV1025,Nevada,32,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
NV1026,Nevada,32,10,prohibited possessor,dvro : expanded : discretionary : surrender,handgun and long gun,Restrictive,Implement
NV1027,Nevada,32,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
NV1028,Nevada,32,12,safety training required,,handgun,,
NV1029,Nevada,32,10,prohibited possessor,erpo,handgun and long gun,,
NV1030,Nevada,32,10,prohibited possessor,dvro,handgun and long gun,,
NV1031,Nevada,32,1,background checks,private sales optional,long gun,Restrictive,Implement
NV1032,Nevada,32,12,safety training required,,long gun,,
NV1033,Nevada,32,10,prohibited possessor,mental health,handgun and long gun,,
NV1034,Nevada,32,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
NV1035,Nevada,32,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
NV1036,Nevada,32,9,permit to purchase,,handgun,,
NV1037,Nevada,32,9,permit to purchase,,long gun,,
NV1038,Nevada,32,8,open carry,not restricted,long gun,,
NV1039,Nevada,32,6,firearm sales restrictions,,handgun and long gun,,
NV1040,Nevada,32,3,castle doctrine,,handgun and long gun,Permissive,Implement
NV1051,Nevada,32,10,prohibited possessor,erpo : expanded,handgun and long gun,Restrictive,Implement
NV1052,Nevada,32,10,prohibited possessor,erpo : expanded ex parte,handgun and long gun,Restrictive,Implement
NV1041,Nevada,32,14,firearm removal at scene of domestic violence,,handgun and long gun,,
NV1042,Nevada,32,13,firearms in college/university,,handgun and long gun,,
NV1043,Nevada,9,13,firearms in college/university,public : CCW not allowed,handgun,Restrictive,Implement
NV1044,Nevada,32,13,firearms in college/university,public : possession prohibited,handgun,Restrictive,Implement
NV1045,Nevada,32,13,firearms in college/university,public : possession prohibited,long gun,Restrictive,Implement
NV1046,Nevada,32,12,local laws preempted by state,,handgun and long gun,,
NV1047,Nevada,32,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
NV1048,Nevada,32,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
NV1049,Nevada,32,10,prohibited possessor,convicted of firearm-prohibiting crime : removal,handgun and long gun,Restrictive,Implement
NV1050,Nevada,32,11,required reporting of lost or stolen firearms,,handgun and long gun,,
NH1001,New Hampshire,33,1,background checks,private sales,handgun,,
NH1002,New Hampshire,33,1,background checks,sales from dealer,handgun,Restrictive,Implement
NH1003,New Hampshire,33,1,background checks,sales from dealer,handgun,,
NH1004,New Hampshire,33,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Implement
NH1005,New Hampshire,33,3,castle doctrine,,handgun and long gun,Permissive,Implement
NH1006,New Hampshire,33,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify
NH1007,New Hampshire,33,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
NH1008,New Hampshire,33,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
NH1009,New Hampshire,33,5,dealer license,,handgun,Restrictive,Implement
NH1010,New Hampshire,33,5,dealer license,,long gun,,
NH1011,New Hampshire,33,7,minimum age,youth possession,handgun,,
NH1012,New Hampshire,33,7,minimum age,purchase and sale,handgun,Restrictive,Implement
NH1013,New Hampshire,33,7,minimum age,purchase and sale,handgun,Permissive,Modify
NH1014,New Hampshire,33,7,minimum age,purchase and sale,long gun,,
NH1017,New Hampshire,33,8,open carry,license required : loaded,handgun,Restrictive,Implement
NH1019,New Hampshire,33,11,registration,,long gun,,
NH1020,New Hampshire,33,1,background checks,state version of Brady requirements,handgun,Restrictive,Implement
NH1021,New Hampshire,33,13,waiting period,,handgun,,
NH1022,New Hampshire,33,1,background checks,sales from dealer,long gun,,
NH1023,New Hampshire,33,4,child access laws,negligent storage,handgun and long gun,,
NH1024,New Hampshire,33,1,background checks,private sales,long gun,,
NH1025,New Hampshire,33,13,waiting period,,long gun,,
NH1026,New Hampshire,33,10,prohibited possessor,dvro : surrender : discretionary removal,handgun and long gun,Restrictive,Implement
NH1027,New Hampshire,33,10,prohibited possessor,dvro : ex parte : discretionary surrender : discretionary removal,handgun and long gun,Restrictive,Implement
NH1028,New Hampshire,33,12,safety training required,,handgun,,
NH1029,New Hampshire,33,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify
NH1030,New Hampshire,33,10,prohibited possessor,erpo,handgun and long gun,,
NH1031,New Hampshire,33,10,prohibited possessor,dvro,handgun and long gun,,
NH1032,New Hampshire,33,12,safety training required,,long gun,,
NH1033,New Hampshire,33,7,minimum age,youth possession,long gun,,
NH1034,New Hampshire,33,10,prohibited possessor,mental health,handgun and long gun,,
NH1035,New Hampshire,33,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
NH1036,New Hampshire,33,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
NH1037,New Hampshire,33,9,permit to purchase,,handgun,,
NH1038,New Hampshire,33,8,open carry,not restricted,long gun,,
NH1042,New Hampshire,33,9,permit to purchase,,long gun,,
NH1039,New Hampshire,33,6,firearm sales restrictions,,handgun and long gun,,
NH1040,New Hampshire,33,3,castle doctrine,,handgun and long gun,Permissive,Implement
NH1043,New Hampshire,33,13,waiting period,federal,handgun,Restrictive,Implement
NH1041,New Hampshire,33,13,waiting period,federal,handgun,Permissive,Repeal
NH1044,New Hampshire,33,14,firearm removal at scene of domestic violence,required,handgun and long gun,Restrictive,Implement
NH1045,New Hampshire,33,13,firearms in college/university,,handgun and long gun,,
NH1046,New Hampshire,33,12,local laws preempted by state,,handgun and long gun,,
NH1047,New Hampshire,33,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement
NH1048,New Hampshire,33,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
NH1049,New Hampshire,33,11,required reporting of lost or stolen firearms,,handgun and long gun,,
NJ1054,New Jersey,34,9,permit to purchase,,handgun,Restrictive,Implement
NJ1002,New Jersey,34,1,background checks,permit to purchase,long gun,Restrictive,Implement
NJ1004,New Jersey,34,1,background checks,sales from dealer,handgun,Restrictive,Implement
NJ1005,New Jersey,34,1,background checks,sales from dealer,long gun,Restrictive,Implement
NJ1006,New Jersey,34,2,carrying a concealed weapon (ccw),may issue,handgun,Permissive,Implement
NJ1007,New Jersey,34,3,castle doctrine,,handgun and long gun,Permissive,Modify
NJ1008,New Jersey,34,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
NJ1009,New Jersey,34,4,child access laws,negligent storage,handgun and long gun,Restrictive,Implement
NJ1010,New Jersey,34,5,dealer license,,long gun,Restrictive,Implement
NJ1011,New Jersey,34,6,firearm sales restrictions,assault weapons ban,long gun,Restrictive,Implement
NJ1012,New Jersey,34,9,permit to purchase,maximum waiting period,handgun,Restrictive,Implement
NJ1013,New Jersey,34,7,minimum age,youth possession,handgun,Restrictive,Modify
NJ1014,New Jersey,34,7,minimum age,youth possession,long gun,Restrictive,Implement
NJ1016,New Jersey,34,7,minimum age,purchase and sale,handgun,Restrictive,Modify
NJ1017,New Jersey,34,7,minimum age,purchase and sale,long gun,Restrictive,Implement
NJ1018,New Jersey,34,6,firearm sales restrictions,one gun per month,handgun,Restrictive,Implement
NJ1020,New Jersey,34,8,open carry,license required,handgun,Permissive,Implement
NJ1022,New Jersey,34,11,registration,,handgun,Restrictive,Implement
NJ1023,New Jersey,34,11,registration,,long gun,,
NJ1024,New Jersey,34,9,permit to purchase,,handgun,Restrictive,Modify
NJ1025,New Jersey,34,4,child access laws,negligent storage,handgun and long gun,,
NJ1026,New Jersey,34,5,dealer license,,handgun,Restrictive,Implement
NJ1027,New Jersey,34,6,firearm sales restrictions,assault weapons ban,handgun,Restrictive,Implement
NJ1028,New Jersey,34,1,background checks,private sales,long gun,Restrictive,Implement
NJ1029,New Jersey,34,7,minimum age,youth possession,handgun,Restrictive,Implement
NJ1030,New Jersey,34,7,minimum age,purchase and sale,handgun,Restrictive,Implement
NJ1031,New Jersey,34,13,waiting period,,handgun,Restrictive,Implement
NJ1032,New Jersey,34,9,permit to purchase,,long gun,Restrictive,Implement
NJ1033,New Jersey,34,1,background checks,permit to purchase,handgun,Restrictive,Implement
NJ1035,New Jersey,34,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement
NJ1036,New Jersey,34,10,prohibited possessor,dvro : ex parte : expanded : discretionary : surrender,handgun and long gun,Restrictive,Implement
NJ1037,New Jersey,34,10,prohibited possessor,dvro : expanded : surrender,handgun and long gun,Restrictive,Implement
NJ1038,New Jersey,34,10,prohibited possessor,dvro : removal,handgun and long gun,Restrictive,Implement
NJ1039,New Jersey,34,10,prohibited possessor,dvro : ex parte : removal,handgun and long gun,Restrictive,Implement
NJ1040,New Jersey,34,12,safety training required,,handgun,,
NJ1041,New Jersey,34,10,prohibited possessor,erpo : ex parte,handgun and long gun,Restrictive,Implement
NJ1042,New Jersey,34,1,background checks,private sales,handgun,Restrictive,Implement
NJ1043,New Jersey,34,10,prohibited possessor,erpo : expanded,handgun and long gun,Restrictive,Implement
NJ1044,New Jersey,34,10,prohibited possessor,erpo,handgun and long gun,,
NJ1045,New Jersey,34,12,safety training required,,long gun,,
NJ1046,New Jersey,34,10,prohibited possessor,mental health,handgun and long gun,,
NJ1047,New Jersey,34,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
NJ1048,New Jersey,34,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement
NJ1049,New Jersey,34,13,waiting period,,handgun,,
NJ1050,New Jersey,34,13,waiting period,,long gun,,
NJ1051,New Jersey,34,6,firearm sales restrictions,,handgun and long gun,,
NJ1052,New Jersey,34,8,open carry,not restricted,long gun,,
NJ1053,New Jersey,34,3,castle doctrine,,handgun and long gun,Permissive,Implement
NJ1054,New Jersey,34,14,firearm removal at scene of domestic violence,required,handgun and long gun,Restrictive,Implement
NJ1055,New Jersey,34,13,firearms in college/university,,handgun and long gun,,
NJ1056,New Jersey,34,13,firearms in college/university,public and private : CCW not allowed,handgun,Restrictive,Implement
NJ1057,New Jersey,34,13,firearms in college/university,public and private : possession prohibited,handgun,Restrictive,Implement
NJ1058,New Jersey,34,13,firearms in college/university,public and private : possession prohibited,long gun,Restrictive,Implement
NJ1059,New Jersey,34,12,local laws preempted by state,,handgun and long gun,,
NJ1060,New Jersey,34,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,
NJ1061,New Jersey,34,10,prohibited possessor,convicted of domestic violence crime : removal,handgun and long gun,Restrictive,Implement
NJ1062,New Jersey,34,11,required reporting of lost or stolen firearms,,handgun and long gun,,
NJ1063,New Jersey,34,11,required reporting of lost or stolen firearms,lost and stolen firearms,handgun,Restrictive,Implement
NJ1064,New Jersey,34,11,required reporting of lost or stolen firearms,lost and stolen firearms,long gun,Restrictive,Implement
NM1001,New Mexico,35,1,background checks,private sales,handgun,,
NM1002,New Mexico,35,1,background checks,sales from dealer,handgun,,
NM1003,New Mexico,35,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement
NM1004,New Mexico,35,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify
NM1005,New Mexico,35,4,child access laws,intentional  reckless  or knowing provision,handgun and long gun,,
NM1006,New Mexico,35,5,dealer license,,long gun,,
NM1007,New Mexico,35,7,minimum age,youth possession,handgun,Restrictive,Implement
NM1008,New Mexico,35,7,minimum age,youth possession,handgun,,
NM1009,New Mexico,35,7,minimum age,purchase and sale,handgun,,
NM1011,New Mexico,35,8,open carry,not restricted,handgun,,
NM1012,New Mexico,35,11,registration,,handgun,,
NM1013,New Mexico,35,13,waiting period,,handgun,,
NM1014,New Mexico,35,1,background checks,sales from dealer,long gun,,
NM1015,New Mexico,35,1,background checks,private sales,long gun,,
NM1016,New Mexico,35,5,dealer license,,handgun,,
NM1017,New Mexico,35,11,registration,,long gun,,
NM1018,New Mexico,35,4,child access laws,negligent storage,handgun and long gun,,
NM1019,New Mexico,35,7,minimum age,purchase and sale,long gun,,
NM1020,New Mexico,35,13,waiting period,,long gun,,
NM1021,New Mexico,35,10,prohibited possessor,dvro : surrender : removal,handgun and long gun,Restrictive,Implement
NM1022,New Mexico,35,12,safety training required,,handgun,,
NM1023,New Mexico,35,10,prohibited possessor,erpo,handgun and long gun,,
NM1024,New Mexico,35,10,prohibited possessor,dvro,handgun and long gun,,
NM1025,New Mexico,35,12,safety training required,,long gun,,
NM1026,New Mexico,35,7,minimum age,youth possession,long gun,,
NM1027,New Mexico,35,10,prohibited possessor,mental health,handgun and long gun,,
NM1028,New Mexico,35,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement
